company_id,year,return_on_equity_pct,debt_to_equity
BEL,2024-03,4744.047619047619,0.5119047619047619
HAL,2024-03,3816.5829145728644,0.6180904522613065
INDIGO,2024-03,892.568306010929,0.018579234972677595
NESTLEIND,2024-03,117.75449101796407,0.10329341317365269
LT,2024-03,77.66510140873214,0.10345688880007993
BRITANNIA,2024-03,54.14869322506978,0.5239786856127886
TCS,2024-03,50.944313673485176,0.0886406082507266
LICI,2024-03,49.44710986501021,0.0
ADANIPOWER,2024-03,48.27674122146251,0.8023177656738903
COALINDIA,2024-03,45.16982956605826,0.0788468512027076
TRENT,2024-03,36.30776794493609,0.4309242871189774
BPCL,2024-03,35.511337343822305,0.7218747934157467
IRCTC,2024-03,34.39628482972136,0.018575851393188854
ABB,2024-03,32.46823465801568,0.022438496891051634
INFY,2024-03,29.788006718416632,0.09486358890553362
ASIANPAINT,2024-03,29.677488252883382,0.1321016659547202
ITC,2024-03,27.851074395694365,0.004066731984914169
BAJAJ-AUTO,2024-03,26.61418410330778,0.06601754022512257
TORNTPHARM,2024-03,24.154025670945156,0.5866394399066511
IOC,2024-03,23.53162465856491,0.7230954600718581
HCLTECH,2024-03,23.01393141233172,0.08435023365512796
LTIM,2024-03,22.904386052552702,0.10345688880007993
EICHERMOT,2024-03,22.172346910501524,0.023219728456636186
HEROMOTOCO,2024-03,21.14243742584327,0.03423922255494661
PIDILITIND,2024-03,20.780302129178065,0.045438325205186154
BOSCHLTD,2024-03,20.639920424403183,0.003232758620689655
HINDUNILVR,2024-03,20.074973642078955,0.028974188761763442
DRREDDY,2024-03,19.74233736816026,0.07085722375592836
ATGL,2024-03,18.65921787709497,0.43491620111731844
DABUR,2024-03,18.355969997972835,0.13835394283397526
HAVELLS,2024-03,17.067275412917954,0.040687525177924
ONGC,2024-03,16.940398136885513,0.45444863084819176
MARUTI,2024-03,15.750385351954785,0.001389602503619973
ICICIGI,2024-03,15.7230643179025,0.0028676771814829987
CIPLA,2024-03,15.554557028383135,0.020931625851868495
ADANIPORTS,2024-03,15.3548827162833,0.9373223691689719
SUNPHARMA,2024-03,15.094161810671148,0.051423814535002436
